METHOD,PATH,EXPECT,AUTH,BODY
GET,/api/v1/chat/flags,200,false,
GET,/api/v1/agencies,200,false,
GET,/agencies,200,false,
GET,/api/v1/barcode/cache/status,200,false,
GET,/api/v1/barcode/test/barcodes,200,false,
GET,/api/v1/enhanced-scan/health,200,false,
GET,/api/v1/recall-alerts/check-now-dev,200,false,
GET,/api/v1/recall-alerts/preferences-dev,200,false,
GET,/api/v1/recall-alerts/check-now,200,false,
GET,/api/v1/recalls,200,false,
GET,/api/v1/recalls/search-dev,200,false,
GET,/api/v1/recalls/stats-dev,200,false,
GET,/api/v1/recalls/stats,200,false,
GET,/api/v1/incidents/clusters,200,false,
GET,/api/v1/incidents/stats,200,false,
GET,/api/v1/incidents/clusters-dev,200,false,
GET,/api/v1/incidents/stats-dev,200,false,
GET,/api/v1/incidents/report-page,200,false,
GET,/api/v1/safety-hub/articles,200,false,
GET,/api/v1/visual/review/queue,200,false,
GET,/api/v1/risk-assessment,200,false,
GET,/api/v1/risk-assessment/stats,200,false,
GET,/api/v1/subscription/status,200,false,
GET,/api/v1/subscription/products,200,false,
GET,/api/v1/subscription/plans,200,false,
GET,/api/v1/settings/,200,false,
GET,/api/v1/settings/crashlytics/status,200,false,
GET,/api/v1/settings/retry-policy,200,false,
GET,/api/v1/user/privacy/summary,200,false,
GET,/api/v1/i18n/locales,200,false,
GET,/api/v1/i18n/translations,200,false,
GET,/api/v1/i18n/a11y/labels,200,false,
GET,/api/v1/i18n/a11y/config,200,false,
GET,/api/v1/monitoring/readyz,200,false,
GET,/api/v1/monitoring/livez,200,false,
GET,/api/v1/monitoring/slo,200,false,
GET,/metrics,200,false,
GET,/legal/,200,false,
GET,/legal/privacy/summary,200,false,
GET,/legal/compliance/status,200,false,
GET,/legal/cookies/preferences,200,false,
GET,/legal/data-deletion,200,false,
GET,/api/v1/feedback/categories,200,false,
GET,/api/v1/feedback/health,200,false,
GET,/api/v1/supplemental/data-sources,200,false,
GET,/api/v1/supplemental/health,200,false,
GET,/api/v1/supplemental/test-simple,200,false,
GET,/api/v1/supplemental/test-cosmetic-simple,200,false,
GET,/api/v1/supplemental/test-dataclass,200,false,
GET,/api/v1/supplemental/test-post-endpoint,200,false,
GET,/api/v1/supplemental/test-recalls-fix,200,false,
GET,/api/v1/supplemental/test-recall-detail,200,false,
GET,/api/v1/supplemental/test-cache-clear,200,false,
GET,/api/v1/supplemental/test-cosmetic,200,false,
GET,/security/intelligence,200,false,
GET,/security/dashboard,200,false,
GET,/security/metrics,200,false,
GET,/security/threats/live,200,false,
GET,/health,200,false,
GET,/readyz,200,false,
GET,/test,200,false,
GET,/openapi.json,200,false,
GET,/cache/stats,200,false,
GET,/api/v1/analytics/recalls,200,false,
GET,/api/v1/analytics/counts,200,false,
GET,/api/v1/monitoring/agencies,200,false,
GET,/api/v1/monitoring/system,200,false,
GET,/mobile/stats,200,false,
GET,/api/v1/notifications/devices-dev,200,false,
GET,/api/v1/notifications/history-dev,200,false,

