"Method","Path","Expect","Got","Ok","Ms","Error"
"GET","/api/v1/auth/me","200","401","False","290","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/auth/verify","200","401","False","66","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/user/scan-history","200","401","False","65","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/user/scan-statistics","200","401","False","67","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/notifications/devices-dev","200","200","True","96",""
"GET","/api/v1/notifications/history-dev","200","200","True","87",""
"GET","/api/v1/notifications/devices","200","401","False","70","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/notifications/history","200","401","False","66","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/monitoring/products","200","401","False","70","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/monitoring/status","200","401","False","65","The remote server returned an error: (401) Unauthorized."
"GET","/api/v1/user/privacy/summary","200","200","True","105",""
